component_id,manufacturers
9d47a0f4d30c7537,Vishay
9df988df38df98f4,Texas Instruments
9e0a78dd6a946b4e,Fairchild
9e0d2926894067d7,Kemet
9eb8f3e5cea9e1b8,Texas Instruments
9ec8ed6269213a73,Diodes
9f02198bb3943ad3,ON Semi
9f9f014b055092b4,Abracon
a15e64fd65060e81,Amphenol
a18f0555ee587b6f,Microchip
a249528180f2a792,YAGEO
a2b16a7d7f5cb3e5,Texas Instruments
a430089c4ee7fcf5,Murata
a4cd5c1f75b1adc2,TE
a5a9bf9b24a5d021,Comchip
a5cc765481423139,Wago
a74114a680679d5e,Panasonic
a77654b058115c79,YAGEO
a922b04e0ad7c1af,Linear Technologies
a96acc6961545a99,Panasonic
a970efc989a520b1,Murata
a9d251f435ac0861,Murata
aae5561e44391e90,Microchip
aba3682d6afa6a74,Microchip
abbf127fd8dda5fc,Texas Instruments
ac28751f5149bec1,Jameco
ac58251b43645748,AVX
ac9cced1458495f1,Bourns
ae53bd9d154a3540,Texas Instruments
aec2d99c8a1d8e10,Littelfuse
af116ed47c92909b,Amphenol
af1f418e5f2a5476,ON Semi
afca620b04d76709,Analog Devices Inc
b024f0b6451da89f,Vishay
b1bf48f3e7869649,YAGEO
b1df37253ccf946c,Crydom
b200d03866600adf,Amphenol ICC
b38dad51a6fa50ea,Maxim Electronics
b3fc47eee64f1409,Fairchild
b4590eb495ec2a77,Maxim Electronics
b4683476052f86dc,YAGEO
b52c5ad1ccb4ba95,Stackpole
b53c725ad627d386,Texas Instruments
